province_id,province_name,adm1_code
1,Kabul,AF01
2,Kapisa,AF02
3,Parwan,AF03
4,Wardak,AF04
5,Logar,AF05
6,Nangarhar,AF06
7,Laghman,AF07
8,Panjsher,AF08
9,Baghlan,AF09
10,Bamyan,AF10
11,Ghazni,AF11
12,Paktika,AF12
13,Paktya,AF13
14,Khost,AF14
15,Kunar,AF15
16,Nuristan,AF16
17,Badakhshan,AF17
18,Takhar,AF18
19,Kunduz,AF19
20,Samangan,AF20
21,Balkh,AF21
22,Sar-e-Pul,AF22
23,Ghor,AF23
24,Daykundi,AF24
25,Uruzgan,AF25
26,Zabul,AF26
27,Kandahar,AF27
28,Jawzjan,AF28
29,Faryab,AF29
30,Helmand,AF30
31,Badghis,AF31
32,Herat,AF32
33,Farah,AF33
34,Nimroz,AF34
